Ciudad;Año;Mes;PM2.5;PM10;NO2;SO2;O3;Temperatura;Humedad;Indice_AQI
Barranquilla;2016;3;35.898.646.611.192.500;9.208.350.313.087.350;3.728.517.606.414.910;13.909.251.787.914.900;24.701.576.049.957.300;15.752.525.567.868.900;59.706.419.240.208.400;55.948.755.244.655.500
Santa Marta;2021;11;3.685.631.963.786.410;5.973.206.638.447.870;12.603.931.886.194.700;1.727.664.467.441.090;34.314.226.578.398.800;23.797.216.217.918.600;8.842.116.884.443.480;11.933.397.786.927.600
Pereira;2024;3;39.680.931.975.901.000;7.412.270.759.245.200;1.001.718.190.675.340;16.785.921.234.871.300;3.399.746.468.330.640;2.410.794.850.067.820;5.187.138.050.004.720;14.990.148.583.929.200
Bucaramanga;2015;3;4.787.405.645.272.800;6.995.776.640.030.350;48.399.963.219.324.400;8.073.552.981.943.940;330.408.439.825.952;5.739.852.836.642.060;779.711.500.359.322;7.998.082.769.570.310
Bucaramanga;2020;10;16.055.555.946.990.100;5.503.856.391.356.660;23.226.772.121.099.600;15.182.161.778.725.800;2.928.390.210.139.720;13.925.816.142.277.800;9.732.965.248.073.140;17.464.398.496.933.000
Pereira;2021;11;6.332.610.121.092.680;6.851.495.785.013.830;27.528.927.956.903.000;11.243.855.800.235.900;40.328.909.102.843.200;19.695.943.966.414.300;100.0;11.506.311.908.916.200
Manizales;2023;11;26.488.290.781.574.700;6.440.067.734.386.940;1.808.069.159.382.360;15.586.149.988.669.500;2.691.548.368.705.750;9.079.360.405.303.820;63.288.275.732.248.700;11.032.698.310.664.000
Santa Marta;2022;10;6.202.292.611.748.270;72.254.978.761.535;2.989.962.309.452.710;1.284.317.291.781.470;4.669.862.807.713.930;15.309.743.618.712.900;6.981.944.660.761.110;12.620.072.727.445.400
Santa Marta;2020;11;6.533.261.150.131.060;5.503.233.638.617.930;3.460.060.874.701.520;1.137.834.038.018.090;7.828.829.315.789.250;22.614.392.800.633.300;640.542.419.046.762;1.390.043.164.011.100
Pereira;2017;8;6.246.765.703.348.830;44.467.635.995.106.700;27.997.961.715.729.200;12.169.860.401.731.700;3.788.173.228.770.900;21.557.581.739.543.600;6.973.074.557.970.800;8.181.704.298.532.110
Medellín;2022;5;32.105.279.483.589.600;6.917.438.453.215.250;4.240.858.077.014.430;11.276.189.780.194.600;35.860.453.346.968.200;2.351.327.215.322.130;894.740.735.036.479;12.219.293.991.793.300
Cúcuta;2021;4;8.268.273.770.227.560;1.043.023.643.635.750;2.173.255.410.058.900;11.471.665.225.682.500;219.052.013.129.814;24.246.104.893.644.200;4.901.031.288.595.180;14.186.538.729.731.100
Bogotá;2017;9;5.0;7.164.405.852.525.590;22.371.175.269.646.200;9.205.838.197.090.450;25.737.227.677.736.600;13.590.852.165.101.900;797.193.519.403.786;8.482.491.052.091.090
Pereira;2023;9;25.789.427.576.758.800;63.368.124.421.369.000;27.314.063.512.774.100;8.741.378.296.962.410;3.557.749.126.930.840;15.575.758.682.936.800;6.706.753.550.366.150;10.018.955.326.623.700
Barranquilla;2016;1;32.028.895.547.759.500;8.508.171.610.076.990;29.649.616.455.060.900;18.815.874.646.863.300;4.099.122.296.578.490;2.580.683.094.756.020;9.052.751.620.042.280;6.930.968.698.547.510
Barranquilla;2017;2;5.450.938.101.583.930;6.683.360.774.809.240;2.727.947.262.062.600;1.238.763.955.555.590;9.006.441.980.026.720;296.216.512.050.134;8.973.129.852.113.540;8.027.807.037.424.820
Cartagena;2016;8;48.017.081.893.136.600;1.073.606.584.991.820;12.155.849.730.449.000;7.133.475.388.843.000;3.753.895.281.185.100;17.162.959.755.688.900;63.893.027.513.184.100;8.601.236.351.011.240
Pereira;2015;5;3.841.107.618.487.430;6.992.174.981.409.840;28.125.151.661.955.600;8.612.912.842.851.780;2.450.818.577.330.930;23.294.527.970.484.700;6.833.828.422.396.940;63.832.127.704.056.900
Cartagena;2018;7;21.652.328.435.882.800;8.400.994.126.316.320;21.258.264.151.965.600;15.281.292.267.239.700;4.350.347.729.158.260;26.035.414.466.569.400;8.339.144.115.149.700;9.748.210.322.724.260
Pereira;2019;1;2.058.830.662.632.660;54.907.912.352.134.500;1.919.022.985.925.350;6.319.066.449.556.900;7.928.697.434.205.870;23.187.778.085.946.400;8.474.981.490.920.770;11.323.315.860.666.700
Santa Marta;2020;12;3.881.191.530.607.150;8.006.178.506.673.320;25.324.820.547.532.400;25.898.615.909.449.400;59.343.587.581.454.400;20.756.168.472.895.000;329.126.603.541.046;11.711.801.028.420.100
Bogotá;2019;10;454.557.646.825.959;7.550.186.953.887.500;15.384.773.126.707.800;2.957.754.296.989.770;1.936.632.080.383.080;18.796.750.027.755.000;8.334.325.744.228.990;676.611.484.799.435
Santa Marta;2015;12;4.087.821.893.368.370;6.886.987.750.681.580;13.646.086.761.267.600;13.551.219.989.760.600;4.715.953.424.147.610;31.926.346.023.827.700;9.469.722.838.311.380;7.574.712.261.243.220
Cúcuta;2017;5;1.948.103.060.590.010;59.964.844.776.605.500;5.0;350.592.570.867.771;29.169.784.563.206;22.481.045.207.634.800;7.383.414.049.170.730;13.403.668.538.454.800
Bucaramanga;2015;11;44.760.014.431.881.200;5.723.939.668.695.250;4.247.237.328.509.890;4.095.670.300.995.940;20.175.999.153.598.400;23.944.710.156.086.300;8.425.264.633.983.350;7.565.091.464.933.340
Cali;2019;12;41.388.664.506.521.100;7.564.705.327.959.300;30.557.313.191.030.000;16.926.186.898.040.600;3.318.136.806.457.690;2.362.160.040.373.450;8.918.134.190.302.320;1.329.676.543.615.480
Pereira;2019;3;18.940.003.907.147.300;8.257.878.219.392.940;2.383.235.878.693.690;9.769.103.936.703.650;4.234.950.533.947.640;1.793.790.796.499.590;7.332.390.564.062.170;7.070.142.453.598.590
Cúcuta;2020;10;23.235.185.445.496.100;6.745.674.407.411.730;1.832.776.763.113.350;8.183.682.304.316.410;11.367.542.391.062.800;22.254.105.116.571.500;8.221.346.214.813.060;11.507.984.100.494.100
Bucaramanga;2022;12;453.274.396.184.235;7.574.535.858.241.580;5.0;2.782.934.684.907.130;3.841.906.619.144.410;2.038.878.656.060.940;7.019.029.746.044.860;13.009.406.701.591
Manizales;2024;12;31.482.386.972.811.600;692.417.064.373.446;17.714.711.237.785.100;92.843.680.126.433;29.853.858.016.114.900;20.299.262.044.155.500;6.921.747.772.594.890;0.0
Bogotá;2015;2;5.883.720.952.454.680;7.197.052.049.810.770;3.215.866.337.164.070;13.133.596.871.790.300;36.924.528.990.796.000;23.584.795.705.093.800;6.007.687.858.706.770;13.473.867.861.315.700
Cartagena;2018;2;42.516.939.140.968.600;659.911.003.464.555;3.442.174.303.593.860;8.152.914.143.568.170;3.013.170.428.806.770;174.217.851.338.233;7.259.533.670.401.310;152.162.845.583.918
Cartagena;2024;9;27.700.532.177.160.900;7.035.945.158.736.610;31.422.919.936.033.000;20.322.471.949.218.300;2.313.757.393.494.410;1.597.605.789.598.120;9.830.285.252.664.250;8.764.342.170.829.450
Santa Marta;2015;4;3.484.691.599.413.600;12.396.080.913.634.800;26.583.919.557.524.600;13.319.017.893.531.800;1.664.252.098.353.740;245.136.253.020.271;56.462.576.379.131.600;11.382.953.577.933.700
Barranquilla;2023;4;35.950.750.889.565.700;762.326.859.761.485;3.803.874.145.931.370;8.951.009.198.227.340;380.717.413.445.643;1.934.194.703.685.660;7.925.309.386.877.040;6.643.510.368.776.040
Bucaramanga;2021;7;2.407.414.530.137.430;8.290.593.916.862.080;21.714.627.779.114.500;13.490.618.027.031.700;38.007.263.906.386.000;20.274.921.398.616.300;7.481.432.616.173.660;11.453.922.144.682.200
Manizales;2021;10;21.311.177.027.335.600;7.876.047.210.656.190;35.851.889.161.343.600;73.922.841.093.621.500;379.472.669.722.897;12.356.017.236.616.600;9.212.241.653.493.350;19.844.199.122.456.400
Cúcuta;2019;10;4.552.084.840.714.240;6.474.366.353.405.880;2.115.417.556.279.780;5.996.611.285.604.060;35.131.155.833.286.800;2.681.541.391.088.310;9.494.339.965.324.270;12.130.569.589.981.300
Bogotá;2021;2;4.767.909.945.563.140;9.587.978.426.583.330;16.188.586.911.222.300;1.852.064.814.766.420;4.133.638.646.207.360;24.620.081.059.578.400;5.613.583.744.669.650;7.997.153.892.764.440
Bucaramanga;2016;3;4.405.672.204.329.430;6.417.672.459.147.310;1.494.287.019.577.470;4.288.626.730.398.630;46.872.831.357.235.700;2.554.034.392.655.910;61.386.768.221.405.400;1.318.701.746.207.120
Manizales;2018;3;5.772.977.141.485.700;9.110.109.097.885.100;14.355.035.788.270.400;8.229.393.821.613.240;7.482.985.831.121.780;2.393.662.810.198.870;622.062.060.625.505;15.046.333.176.620.000
Cali;2021;6;2.687.340.145.982.590;63.315.860.038.671.000;31.590.680.288.024.800;1.153.016.641.181.750;5.0;14.420.215.231.548.600;62.737.009.184.840.100;4.470.310.524.487.590
Pereira;2017;3;6.011.406.149.106.690;5.080.054.961.711.910;17.572.544.289.029.200;5.318.828.971.212.750;5.061.536.831.855.570;2.314.499.482.339.570;6.402.327.269.923.680;7.447.237.069.734.230
Cartagena;2016;11;2.148.618.322.168.770;7.730.792.416.472.380;14.669.711.549.650.500;13.253.024.768.157.000;13.907.441.824.977.700;18.954.332.488.275.200;7.520.596.778.755.540;7.678.728.446.246.980
Cúcuta;2024;5;19.809.716.549.472.600;4.790.663.287.795.780;321.373.521.966.136;8.467.027.376.788.730;16.965.080.558.524.500;17.185.714.473.832.300;5.722.919.537.733.740;7.388.016.807.425.100
Cartagena;2016;4;8.600.616.767.761.240;8.071.280.450.033.210;2.827.970.390.472.230;13.319.551.637.834.200;2.654.862.825.750.090;24.500.241.207.228.600;5.933.812.758.543.730;9.535.301.642.226.720
Cúcuta;2015;3;28.313.070.292.597.700;4.611.682.687.817.360;34.625.919.828.458.000;12.929.920.898.752.500;10.152.341.055.442.700;30.292.544.583.763.300;581.411.453.422.992;4.285.236.146.591.280
Santa Marta;2019;8;27.444.164.947.558.100;63.619.839.390.542.900;30.125.995.112.727.900;878.493.934.687.085;2.542.095.963.230.830;29.466.697.094.781.700;7.738.936.739.049.290;8.981.898.408.040.440
Barranquilla;2020;10;42.889.059.203.819.700;4.136.540.606.950.510;17.468.884.198.026.800;18.553.293.362.954.900;18.622.735.870.528.000;2.511.072.509.255.300;6.904.347.487.493.000;62.554.044.125.504.800
Cúcuta;2020;3;38.658.364.124.306.700;12.648.334.018.805.400;25.761.024.164.685.800;6.673.320.982.832.790;2.719.990.956.363.590;21.848.859.202.704.000;6.638.047.817.234.250;9.724.580.394.374.930
Cartagena;2023;6;17.105.399.434.712.900;36.920.808.807.673.700;2.625.132.990.769.670;16.744.352.352.743.600;3.335.809.565.888.520;20.922.288.395.405.400;5.737.180.453.245.340;7.179.480.091.988.430
Santa Marta;2018;7;29.109.106.423.612.700;7.019.627.480.792.800;15.808.413.415.259.900;15.874.666.213.140.200;25.877.541.294.845.200;17.477.482.067.783.800;4.593.918.892.489.370;9.323.853.133.096.430
Cúcuta;2015;7;2.942.806.968.368.470;9.286.608.548.660.020;13.953.750.259.060.000;188.544.110.383.022;25.271.432.575.234.200;2.065.133.408.146.660;9.447.300.591.014.620;58.542.505.376.957.300
Cali;2020;2;836.026.629.557.161;907.277.181.717.405;18.192.783.908.822.900;10.870.280.196.715.100;3.309.594.956.149.970;26.542.619.797.940.700;6.566.908.468.277.820;1.381.080.245.717.090
Barranquilla;2019;3;20.285.799.094.799.400;8.702.684.244.346.270;45.365.823.566.720.800;6.057.071.440.360.050;42.531.501.575.399.300;31.115.695.660.124.600;100.0;8.697.613.553.150.760
Cúcuta;2024;12;2.343.779.554.078.860;6.365.543.223.557.040;2.087.255.905.778.450;20.383.982.926.647.700;49.235.572.163.059.900;17.917.593.465.179.800;8.159.187.086.351.470;10.055.311.012.283.600
Santa Marta;2020;10;565.043.752.973.142;9.702.177.892.674.000;3.732.866.791.386.710;8.326.492.660.118.170;27.377.540.951.973.400;12.024.932.576.641.500;974.387.924.952.636;941.672.228.379.655
Bucaramanga;2017;10;3.787.176.073.936.020;8.826.782.181.604.360;2.031.339.490.520.200;5.932.287.136.472.320;5.189.866.982.307.880;19.345.630.019.438.400;8.490.230.919.271.160;10.028.928.874.573.600
Medellín;2016;4;4.493.253.130.921.240;7.424.599.235.320.950;3.388.838.819.539.990;9.051.066.270.475.930;4.052.048.201.713.490;26.519.770.564.355.600;7.237.774.236.530.450;10.008.770.288.907.900
Manizales;2020;7;12.520.467.542.761.800;7.481.161.515.453.180;3.402.491.655.557.840;50.915.464.192.146.100;15.215.898.552.321.800;32.361.386.453.295.300;610.351.366.291.003;13.220.553.442.517.200
Medellín;2015;2;5.291.321.724.520.980;6.392.154.704.769.250;3.452.590.507.952.040;1.263.074.412.561.670;148.655.009.326.359;2.855.020.603.328.400;55.347.401.269.052.700;8.855.732.403.199.350
Medellín;2021;3;54.516.530.945.361.300;5.180.695.948.333.920;28.878.273.420.089.500;6.971.658.091.207.430;2.307.254.579.276.790;2.842.642.606.189.180;8.679.476.525.478.900;7.120.825.857.369.190
Bogotá;2021;7;5.024.825.492.830.600;9.474.301.950.957.430;3.877.366.578.781.150;8.562.579.150.475.630;47.335.247.800.316.700;177.521.982.316.263;7.397.551.073.560.990;10.166.861.157.550.500
Cali;2024;7;24.420.249.141.262.200;9.624.415.987.203.060;28.783.539.693.527.200;1.483.889.430.832.480;23.983.592.213.213.500;1.789.305.313.225.490;7.924.751.561.175.200;7.548.383.153.174.990
Bucaramanga;2021;10;4.243.648.359.523.260;5.231.781.717.940.150;421.352.972.934.028;13.118.466.050.880.900;7.291.718.105.924.720;15.380.951.813.668.900;8.221.935.257.423.100;9.700.345.686.200.070
Pereira;2024;3;4.466.582.680.307.270;6.692.429.669.707.610;8.800.801.968.115.660;10.077.922.862.848.200;27.253.389.493.347.400;18.672.601.319.372.800;7.533.961.581.588.690;5.791.890.923.092.840
Cúcuta;2015;12;2.482.257.904.269.160;6.713.153.567.082.140;28.482.862.476.668.100;1.085.436.764.373.490;6.233.136.389.275.110;26.570.488.917.055.800;6.292.213.677.547.890;1.419.912.988.950.500
Manizales;2018;1;30.417.508.054.195.200;693.468.819.251.938;27.833.235.925.356.600;10.061.277.153.157.700;1.734.017.223.675.750;30.122.435.934.674.600;85.190.537.065.234;6.877.868.967.268.420
Barranquilla;2021;12;2.603.928.408.432.280;7.128.589.757.175.160;15.634.801.541.945.000;7.844.224.667.913.170;22.955.659.124.488.900;23.727.586.356.414.300;6.702.719.729.046.520;1.479.761.457.150.120
Bucaramanga;2023;3;3.665.627.070.419.170;889.372.292.329.236;30.795.842.217.637.300;9.987.366.695.761.060;31.796.026.931.096.200;20.724.395.199.950.400;713.585.389.707.646;9.755.497.097.598.480
Cartagena;2019;5;5.295.767.797.192.860;5.505.565.383.026.510;1.009.917.324.423.380;12.454.208.127.464.700;4.228.994.791.928.250;1.666.637.591.163.280;8.076.085.909.956.570;13.424.612.754.969.200
Pereira;2016;7;2.343.436.764.288.190;530.730.601.697.468;18.458.156.742.396.700;9.369.189.355.105.800;38.329.631.320.461.100;21.437.424.219.933.500;691.155.488.972.659;6.930.752.137.250.690
Bogotá;2021;4;5.001.230.746.652.620;947.323.948.428.595;5.009.121.871.021.920;1.209.883.815.115.130;15.848.102.418.630.100;23.015.631.638.252.700;42.732.282.125.052.100;21.326.196.471.966.900
Bogotá;2024;11;23.274.918.914.796.600;60.747.105.162.374.000;4.058.626.516.962.810;5.816.656.107.884.760;25.539.452.854.012.100;1.468.463.963.613.400;8.560.881.256.830.320;3.404.760.486.413.950
Bucaramanga;2015;11;22.285.591.812.546.700;44.739.292.928.458.600;22.684.505.060.547.000;6.980.531.744.271.470;309.165.070.644.308;26.607.364.642.533.900;8.882.393.244.872.570;20.011.609.340.917.900
Santa Marta;2021;1;472.789.192.751.482;602.974.011.580.026;46.668.840.348.163.100;6.328.397.483.630.120;26.853.514.506.642.000;19.880.430.018.456.700;4.253.325.862.599.330;760.823.880.795.193
Medellín;2020;6;48.829.045.670.114.200;6.339.894.529.511.990;3.302.949.926.519.490;7.174.343.141.037.960;26.768.457.289.580.400;26.307.079.205.506.000;5.435.063.191.507.690;14.384.632.251.526.600
Cartagena;2021;2;47.771.149.051.439.800;1.010.992.545.545.150;29.480.982.133.510.200;16.435.905.233.530.400;9.327.080.104.148.730;2.194.540.018.974.500;100.0;4.808.974.852.620.730
Bogotá;2024;12;15.263.038.876.727.800;8.849.652.424.753.470;1.913.772.305.719.000;136.301.939.655.518;16.167.190.186.324.300;23.486.083.464.436.500;7.348.052.017.755.860;10.715.418.894.531.600
Manizales;2017;3;2.801.073.532.891.920;9.295.041.233.264.480;145.364.996.431.258;4.615.384.406.578.270;2.516.472.181.032.870;18.490.253.949.593.400;7.005.326.909.905.540;11.393.628.871.714.500
Bogotá;2017;4;4.734.482.888.004.980;8.639.947.284.693.570;30.229.715.738.969.400;12.187.491.482.042.200;5.0;20.276.923.570.922.700;6.360.424.889.425.640;21.345.648.044.405.400
Barranquilla;2021;6;3.562.312.760.845.840;8.892.487.343.230.620;24.284.859.907.270.100;804.708.843.675.715;3.768.773.184.011.820;25.210.210.616.809.700;54.539.460.237.150.400;8.728.565.044.923.260
Cúcuta;2016;6;18.894.607.307.038.000;5.623.835.746.839.360;1.160.729.684.514.690;65.880.770.726.421.700;13.527.850.803.467.100;2.134.250.882.630.810;6.708.373.536.540.420;7.154.927.803.635.020
Bogotá;2015;7;4.187.476.908.688.160;6.602.795.689.293.030;9.831.415.834.916.810;2.571.302.671.387.460;38.242.057.599.181.600;16.475.129.921.514.100;8.461.634.108.748.560;11.403.734.437.402.500
Barranquilla;2023;5;24.277.891.115.127.900;5.020.169.373.952.900;15.412.962.708.564.100;1.485.959.346.910.120;3.718.699.205.365.090;225.578.702.752.614;6.976.483.060.928.500;630.094.965.212.218
Bucaramanga;2023;7;61.917.872.725.883.100;6.579.023.938.925.930;432.096.722.526.623;31.806.842.516.643.000;23.475.683.482.651.300;23.928.375.084.192.000;7.915.426.128.839.570;11.638.307.557.256.800
Bucaramanga;2021;2;5.817.262.193.627.380;8.368.209.981.869.480;4.713.277.918.011.300;9.740.184.109.950.620;4.200.657.990.841.840;28.864.442.628.360.100;9.648.560.722.759.840;9.786.046.181.582.060
Pereira;2021;1;4.406.146.139.533.350;7.269.166.569.624.490;27.049.891.473.089.000;5.268.443.771.375.650;389.183.681.390.992;27.762.766.343.297.300;61.292.827.293.307.100;6.984.729.382.326.660
Bogotá;2017;12;554.151.005.715.466;9.622.961.637.920.590;26.489.427.962.412.800;13.879.219.735.349.600;26.292.462.349.984.300;2.167.682.226.823.060;7.454.312.350.987.660;1.197.753.573.528.490
Manizales;2024;10;3.597.187.025.185.070;47.171.684.155.455.600;2.163.679.628.170.470;8.328.240.868.430.240;2.493.888.461.769.960;19.263.324.176.678.700;8.506.590.341.403.510;10.433.285.477.416.300
Bogotá;2016;8;46.481.562.415.625.200;800.047.670.139.648;15.655.146.516.904.900;9.327.686.722.398.270;4.316.679.342.797.220;20.858.493.003.191.500;5.600.644.549.800.100;1.304.128.175.617.300
Manizales;2021;1;5.716.580.442.953.110;45.033.943.962.613.600;3.875.179.057.607.240;9.496.328.685.349.830;3.278.416.607.289.190;19.381.332.463.110.300;7.267.079.242.098.700;1.660.981.349.535.790
Cali;2023;12;3.868.248.022.691.460;7.188.352.938.347.280;4.373.576.393.897.130;11.512.851.674.678.900;4.253.636.602.041.770;24.530.806.128.519.700;9.808.486.786.939.540;7.993.427.684.647.510
Pereira;2015;2;31.172.192.427.285.700;8.480.666.845.112.950;16.065.809.141.607.100;10.065.023.819.916.500;5.0;2.720.832.561.307.820;6.489.624.429.310.270;8.353.967.825.012.720
Cali;2018;11;9.430.670.627.343.260;6.570.994.866.351.560;24.171.616.215.753.900;9.783.634.055.194.410;31.181.821.164.233.500;28.199.171.796.470.400;8.602.519.807.005.680;4.617.410.321.635.100
Bogotá;2020;12;3.375.299.711.417.750;8.102.253.208.173.910;2.050.133.699.289.830;740.799.012.372.611;11.071.090.956.367.500;19.938.967.737.511.600;6.788.294.684.185.340;12.084.121.098.389.700
Pereira;2021;10;4.735.134.776.843.460;5.080.535.330.334.130;2.079.760.925.135.020;2.126.353.133.289.530;2.969.053.791.015.880;1.943.986.800.292.940;9.699.380.525.975.480;7.420.993.810.158.150
Cali;2024;6;4.918.450.141.351.440;3.672.620.043.607.230;36.859.082.554.298.600;44.072.452.022.907.200;3.856.584.250.015.060;19.898.027.877.206.800;4.531.798.166.744.340;11.382.111.932.667.000
Medellín;2021;1;42.565.475.985.776.100;8.114.059.244.975.600;11.880.384.546.338.700;13.592.398.693.403.200;5.086.968.174.898.920;12.339.815.249.569.200;7.097.434.286.515.420;1.466.189.288.226.650
Bogotá;2024;10;26.880.513.575.566.400;10.488.020.468.151.400;29.664.696.909.363.000;847.090.268.336.851;1.874.199.925.875.370;1.598.593.820.726.540;4.781.717.957.281.160;726.240.626.250.467
Cali;2016;3;5.347.676.465.786.140;5.007.910.119.660.210;3.228.238.107.305.860;6.679.951.111.387.600;23.691.542.336.376.200;2.182.723.497.030.650;5.948.684.775.578.650;8.102.868.773.196.220
